date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2023-12-17 12:30:00,1048721,T. Gerach,FC St. Pauli,SV Wehen,1,1,draw,2,0,1.6,9.0,1.6,6.0
2023-12-17 12:30:00,1048723,M. Petersen,Karlsruher SC,SV Elversberg,3,2,home,5,1,2.0,6.0,1.4,6.0
2024-01-19 17:30:00,1048733,T. Stieler,Holstein Kiel,Eintracht Braunschweig,1,2,away,3,-1,2.8,15.0,1.8,9.0
2024-01-19 17:30:00,1048732,S. Storks,Karlsruher SC,VfL Osnabruck,2,1,home,3,1,2.6,9.0,0.6,2.0
2024-01-20 12:00:00,1048735,T. Bauer,FC Nurnberg,Hansa Rostock,3,0,home,3,3,1.0,6.0,1.2,4.0
2024-01-20 12:00:00,1048730,T. Welz,FC St. Pauli,FC Kaiserslautern,2,0,home,2,2,1.4,7.0,0.8,0.0
2024-01-20 12:00:00,1048736,R. Hartmann,SV Elversberg,Hannover 96,2,2,draw,4,0,1.8,6.0,0.8,3.0
2024-01-20 19:30:00,1048728,S. Jablonski,FC Schalke 04,Hamburger SV,0,2,away,2,-2,2.4,7.0,1.8,7.0
2024-01-21 12:30:00,1048734,P. Alt,FC Magdeburg,SV Wehen,1,0,home,1,1,2.0,7.0,1.2,4.0
2024-01-21 12:30:00,1048729,R. Kampka,Hertha Berlin,Fortuna Dusseldorf,2,2,draw,4,0,2.2,9.0,2.6,9.0
2024-01-21 12:30:00,1048731,M. Burda,SC Paderborn 07,SpVgg Greuther Furth,0,1,away,1,-1,1.6,9.0,1.4,11.0
2024-01-26 17:30:00,1048739,R. Braun,FC Kaiserslautern,FC Schalke 04,4,1,home,5,3,0.6,0.0,2.2,7.0
2024-01-26 17:30:00,1048740,P. Schwengers,Hannover 96,FC Nurnberg,3,0,home,3,3,1.2,3.0,1.0,6.0
2024-01-27 12:00:00,1048742,F. Heft,Hansa Rostock,SV Elversberg,2,1,home,3,1,0.8,1.0,1.8,4.0
2024-01-27 12:00:00,1048745,W. Haslberger,SV Wehen,Hertha Berlin,3,1,home,4,2,0.8,1.0,2.2,9.0
2024-01-27 12:00:00,1048744,M. Bacher,VfL Osnabruck,SC Paderborn 07,0,0,draw,0,0,0.4,2.0,1.4,9.0
