date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2022-11-09 17:30:00,873002,R. Hempel,SV Sandhausen,FC Heidenheim,3,4,2,7,-1
2022-11-09 17:30:00,873001,R. Braun,Hansa Rostock,FC Nurnberg,1,1,1,2,0
2022-11-10 19:30:00,873004,W. Haslberger,FC Magdeburg,SV Darmstadt 98,0,1,2,1,-1
2022-11-11 17:30:00,873012,B. Cortus,Fortuna Dusseldorf,FC Kaiserslautern,1,2,2,3,-1
2022-11-11 17:30:00,873011,A. Aarnink,Holstein Kiel,Hannover 96,1,1,1,2,0
2022-11-12 12:00:00,873007,F. Willenborg,Hamburger SV,SV Sandhausen,4,2,0,6,2
2022-11-12 12:00:00,873009,F. Heft,FC Heidenheim,Jahn Regensburg,5,4,0,9,1
2022-11-12 12:00:00,873013,F. Lechner,Karlsruher SC,FC St. Pauli,4,4,1,8,0
2022-11-12 19:30:00,873014,M. Bacher,Eintracht Braunschweig,Hansa Rostock,0,1,2,1,-1
2022-11-13 12:30:00,873008,H. Osmers,SV Darmstadt 98,SpVgg Greuther Furth,1,1,1,2,0
2022-11-13 12:30:00,873006,R. Hempel,Arminia Bielefeld,FC Magdeburg,3,1,0,4,2
2022-11-13 12:30:00,873010,R. Kampka,FC Nurnberg,SC Paderborn 07,2,1,0,3,1
2023-01-27 17:30:00,873023,P. Alt,Karlsruher SC,SC Paderborn 07,0,1,2,1,-1
2023-01-27 17:30:00,873021,F. Willenborg,Fortuna Dusseldorf,FC Magdeburg,3,2,0,5,1
2023-01-28 12:00:00,873018,M. Burda,FC Heidenheim,Hansa Rostock,2,0,0,2,2
2023-01-28 12:00:00,873017,D. Schlager,SV Darmstadt 98,Jahn Regensburg,2,0,0,2,2
2023-01-28 12:00:00,873020,F. Exner,Holstein Kiel,SpVgg Greuther Furth,2,1,0,3,1
2023-01-28 19:30:00,873022,S. Stegemann,Hannover 96,FC Kaiserslautern,1,3,2,4,-2
2023-01-29 12:30:00,873019,A. Sather,FC Nurnberg,FC St. Pauli,0,1,2,1,-1
2023-01-29 12:30:00,873016,R. Hartmann,Hamburger SV,Eintracht Braunschweig,4,2,0,6,2
2023-01-29 12:30:00,873015,N. Winter,Arminia Bielefeld,SV Sandhausen,1,2,2,3,-1
2023-02-03 17:30:00,873026,T. Reichel,SC Paderborn 07,Fortuna Dusseldorf,4,1,0,5,3
2023-02-03 17:30:00,873028,M. Jöllenbeck,SV Sandhausen,SV Darmstadt 98,0,4,2,4,-4
2023-02-04 12:00:00,873032,M. Thomsen,FC Kaiserslautern,Holstein Kiel,2,1,0,3,1
2023-02-04 12:00:00,873029,S. Waschitzki,Jahn Regensburg,Arminia Bielefeld,1,3,2,4,-2
2023-02-04 12:00:00,873031,W. Haslberger,Eintracht Braunschweig,FC Heidenheim,2,0,0,2,2
2023-02-04 19:30:00,873024,T. Stieler,SpVgg Greuther Furth,FC Nurnberg,1,0,0,1,1
2023-02-05 12:30:00,873030,R. Braun,FC Magdeburg,Karlsruher SC,1,1,1,2,0
